evaluations raw_y
1 57.0000000000
5 61.0000000000
180 62.0000000000
242 64.0000000000
394 65.0000000000
3287 67.0000000000
5191 69.0000000000
7096 72.0000000000
13099 74.0000000000
13134 75.0000000000
15475 78.0000000000
17679 79.0000000000
19873 80.0000000000
21259 83.0000000000
25200 84.0000000000
25602 85.0000000000
27846 86.0000000000
31057 87.0000000000
31213 89.0000000000
33003 90.0000000000
35320 91.0000000000
37353 93.0000000000
41779 94.0000000000
45072 95.0000000000
45956 96.0000000000
47448 97.0000000000
51621 98.0000000000
57647 99.0000000000
59162 100.0000000000
61000 95.0000000000
evaluations raw_y
1 54.0000000000
9 55.0000000000
23 58.0000000000
33 60.0000000000
39 61.0000000000
78 62.0000000000
801 63.0000000000
1320 64.0000000000
3114 65.0000000000
5085 66.0000000000
5707 67.0000000000
7299 68.0000000000
7346 69.0000000000
9134 71.0000000000
9306 72.0000000000
11051 73.0000000000
11780 74.0000000000
13000 62.0000000000
