evaluations raw_y
1 53.0000000000
2 57.0000000000
5 58.0000000000
17 63.0000000000
396 64.0000000000
887 65.0000000000
2033 67.0000000000
2035 68.0000000000
2138 70.0000000000
2437 71.0000000000
2773 72.0000000000
4005 73.0000000000
4009 75.0000000000
4161 77.0000000000
4642 79.0000000000
6100 80.0000000000
6104 83.0000000000
8020 84.0000000000
8044 85.0000000000
8146 86.0000000000
8249 87.0000000000
8597 88.0000000000
10016 89.0000000000
10156 90.0000000000
10236 92.0000000000
12197 94.0000000000
12202 95.0000000000
12502 96.0000000000
14409 97.0000000000
14561 98.0000000000
16440 99.0000000000
18673 100.0000000000
19000 96.0000000000
evaluations raw_y
1 46.0000000000
2 47.0000000000
5 54.0000000000
6 56.0000000000
9 57.0000000000
10 60.0000000000
67 63.0000000000
175 65.0000000000
2036 66.0000000000
2095 69.0000000000
2461 70.0000000000
4013 72.0000000000
4106 73.0000000000
4165 74.0000000000
4176 76.0000000000
4416 78.0000000000
6066 82.0000000000
7658 83.0000000000
8004 87.0000000000
10010 89.0000000000
10095 90.0000000000
12016 91.0000000000
12068 93.0000000000
12642 94.0000000000
14047 95.0000000000
14093 97.0000000000
16089 98.0000000000
18305 99.0000000000
20087 100.0000000000
21000 95.0000000000
evaluations raw_y
1 43.0000000000
2 49.0000000000
4 50.0000000000
5 51.0000000000
7 53.0000000000
23 55.0000000000
34 58.0000000000
71 62.0000000000
478 64.0000000000
577 66.0000000000
1872 68.0000000000
2071 71.0000000000
4045 72.0000000000
4066 73.0000000000
4067 76.0000000000
4134 78.0000000000
4175 79.0000000000
6029 82.0000000000
6301 84.0000000000
8082 86.0000000000
8537 90.0000000000
10063 91.0000000000
10771 92.0000000000
12029 97.0000000000
14340 98.0000000000
16156 99.0000000000
16446 100.0000000000
17000 89.0000000000
evaluations raw_y
1 55.0000000000
12 56.0000000000
26 60.0000000000
44 61.0000000000
125 62.0000000000
411 63.0000000000
462 64.0000000000
831 65.0000000000
957 67.0000000000
2017 69.0000000000
2175 71.0000000000
3175 72.0000000000
4010 74.0000000000
4036 75.0000000000
4082 77.0000000000
4579 79.0000000000
6056 81.0000000000
6084 83.0000000000
6319 85.0000000000
8010 87.0000000000
8420 88.0000000000
8604 90.0000000000
9420 91.0000000000
10349 92.0000000000
12046 93.0000000000
12159 95.0000000000
12416 96.0000000000
14372 97.0000000000
14638 98.0000000000
16399 99.0000000000
18520 100.0000000000
19000 93.0000000000
evaluations raw_y
1 54.0000000000
5 56.0000000000
6 61.0000000000
53 64.0000000000
61 65.0000000000
315 67.0000000000
1315 69.0000000000
2193 71.0000000000
2226 75.0000000000
4102 77.0000000000
4152 78.0000000000
6037 79.0000000000
6134 81.0000000000
6376 83.0000000000
8011 84.0000000000
8044 85.0000000000
8124 86.0000000000
8330 87.0000000000
10064 89.0000000000
10186 90.0000000000
10335 92.0000000000
12043 94.0000000000
14088 97.0000000000
14784 98.0000000000
16347 99.0000000000
18303 100.0000000000
19000 94.0000000000
evaluations raw_y
1 56.0000000000
5 58.0000000000
20 63.0000000000
284 64.0000000000
383 65.0000000000
2007 67.0000000000
2192 68.0000000000
2356 69.0000000000
2453 70.0000000000
2899 72.0000000000
4123 73.0000000000
4128 74.0000000000
4194 76.0000000000
6009 77.0000000000
6069 79.0000000000
6410 82.0000000000
8057 83.0000000000
8058 84.0000000000
8065 86.0000000000
10036 87.0000000000
10039 89.0000000000
10118 90.0000000000
10415 91.0000000000
12091 92.0000000000
12106 93.0000000000
12480 94.0000000000
12659 95.0000000000
13480 96.0000000000
14039 98.0000000000
18083 99.0000000000
18781 100.0000000000
19000 92.0000000000
evaluations raw_y
1 39.0000000000
2 56.0000000000
18 57.0000000000
59 58.0000000000
69 59.0000000000
78 65.0000000000
2017 67.0000000000
2096 70.0000000000
2346 71.0000000000
2350 73.0000000000
4022 82.0000000000
6467 85.0000000000
6920 86.0000000000
8060 87.0000000000
8914 89.0000000000
10024 90.0000000000
10141 91.0000000000
12103 92.0000000000
12166 93.0000000000
12717 94.0000000000
12952 95.0000000000
14243 96.0000000000
16090 97.0000000000
16174 98.0000000000
16560 99.0000000000
20059 100.0000000000
21000 94.0000000000
evaluations raw_y
1 50.0000000000
2 62.0000000000
177 64.0000000000
603 66.0000000000
2007 68.0000000000
2168 71.0000000000
2878 72.0000000000
4077 78.0000000000
4131 79.0000000000
6028 82.0000000000
6177 84.0000000000
8018 86.0000000000
8194 87.0000000000
8837 89.0000000000
10075 90.0000000000
10354 91.0000000000
10984 95.0000000000
12440 96.0000000000
12894 98.0000000000
16199 99.0000000000
16798 100.0000000000
17000 97.0000000000
evaluations raw_y
1 48.0000000000
2 50.0000000000
4 53.0000000000
10 59.0000000000
22 60.0000000000
49 62.0000000000
122 63.0000000000
544 65.0000000000
1544 66.0000000000
2013 69.0000000000
2719 70.0000000000
4012 74.0000000000
4014 77.0000000000
4692 79.0000000000
6029 80.0000000000
6518 83.0000000000
6684 84.0000000000
8028 85.0000000000
8086 86.0000000000
8130 88.0000000000
8141 89.0000000000
8784 90.0000000000
10163 93.0000000000
10511 94.0000000000
12065 96.0000000000
12592 98.0000000000
16103 99.0000000000
16769 100.0000000000
17000 95.0000000000
evaluations raw_y
1 46.0000000000
3 62.0000000000
37 65.0000000000
2080 66.0000000000
2081 71.0000000000
2447 73.0000000000
4016 78.0000000000
6060 79.0000000000
6063 81.0000000000
6396 83.0000000000
8007 87.0000000000
8249 88.0000000000
8999 90.0000000000
10009 92.0000000000
12073 93.0000000000
12470 96.0000000000
14836 97.0000000000
16201 98.0000000000
18105 99.0000000000
18874 100.0000000000
19000 96.0000000000
evaluations raw_y
1 45.0000000000
2 47.0000000000
3 54.0000000000
11 55.0000000000
27 57.0000000000
31 62.0000000000
47 64.0000000000
684 67.0000000000
2014 68.0000000000
2114 70.0000000000
2346 71.0000000000
4017 72.0000000000
4020 73.0000000000
4142 75.0000000000
4179 77.0000000000
6039 78.0000000000
6046 79.0000000000
6104 82.0000000000
6246 83.0000000000
8012 84.0000000000
8036 88.0000000000
10004 89.0000000000
10116 90.0000000000
10786 91.0000000000
12048 93.0000000000
12057 94.0000000000
14062 95.0000000000
14192 96.0000000000
16074 97.0000000000
16570 98.0000000000
16885 99.0000000000
20140 100.0000000000
21000 94.0000000000
evaluations raw_y
1 62.0000000000
125 66.0000000000
752 68.0000000000
2080 73.0000000000
4017 76.0000000000
4253 77.0000000000
4987 79.0000000000
6129 82.0000000000
6691 83.0000000000
8039 84.0000000000
8318 85.0000000000
8390 86.0000000000
8689 87.0000000000
10025 93.0000000000
13293 95.0000000000
14118 96.0000000000
16067 97.0000000000
16151 98.0000000000
16316 99.0000000000
18089 100.0000000000
19000 92.0000000000
evaluations raw_y
1 56.0000000000
6 59.0000000000
17 62.0000000000
30 65.0000000000
2020 67.0000000000
2088 68.0000000000
2191 72.0000000000
4051 76.0000000000
4452 79.0000000000
6077 80.0000000000
6093 82.0000000000
8049 84.0000000000
8309 85.0000000000
8435 86.0000000000
8588 89.0000000000
10787 90.0000000000
12051 91.0000000000
12186 92.0000000000
12233 93.0000000000
14022 94.0000000000
14480 95.0000000000
14483 96.0000000000
16103 98.0000000000
18075 99.0000000000
20259 100.0000000000
21000 96.0000000000
evaluations raw_y
1 46.0000000000
2 49.0000000000
4 53.0000000000
9 55.0000000000
13 58.0000000000
54 62.0000000000
71 64.0000000000
744 69.0000000000
2082 70.0000000000
2120 72.0000000000
2268 73.0000000000
4103 74.0000000000
4108 76.0000000000
4251 77.0000000000
4608 78.0000000000
6004 80.0000000000
6131 81.0000000000
6155 83.0000000000
8022 86.0000000000
8299 87.0000000000
8470 88.0000000000
10150 89.0000000000
10262 91.0000000000
12028 92.0000000000
12195 93.0000000000
12553 94.0000000000
12988 95.0000000000
14190 96.0000000000
14196 97.0000000000
16072 98.0000000000
16346 99.0000000000
18541 100.0000000000
19000 92.0000000000
evaluations raw_y
1 49.0000000000
4 53.0000000000
9 56.0000000000
15 59.0000000000
40 62.0000000000
74 63.0000000000
137 67.0000000000
1137 68.0000000000
2132 70.0000000000
2133 72.0000000000
3780 73.0000000000
4031 74.0000000000
4033 75.0000000000
4152 76.0000000000
4691 78.0000000000
4789 81.0000000000
6042 82.0000000000
6221 83.0000000000
6362 84.0000000000
7042 85.0000000000
8040 86.0000000000
8118 87.0000000000
8190 89.0000000000
10115 90.0000000000
10202 91.0000000000
10860 92.0000000000
12089 93.0000000000
12175 94.0000000000
14100 95.0000000000
14254 96.0000000000
14909 97.0000000000
16232 98.0000000000
18086 99.0000000000
18768 100.0000000000
19000 92.0000000000
evaluations raw_y
1 52.0000000000
2 54.0000000000
12 60.0000000000
72 62.0000000000
151 65.0000000000
2095 69.0000000000
2756 70.0000000000
3095 71.0000000000
4008 72.0000000000
4140 76.0000000000
5140 79.0000000000
6271 80.0000000000
6643 81.0000000000
8009 82.0000000000
8150 83.0000000000
8231 84.0000000000
8437 86.0000000000
8899 87.0000000000
10052 88.0000000000
10198 89.0000000000
10491 90.0000000000
12069 91.0000000000
12074 92.0000000000
12447 93.0000000000
12634 94.0000000000
14042 95.0000000000
14095 96.0000000000
16084 98.0000000000
18489 99.0000000000
20088 100.0000000000
21000 95.0000000000
evaluations raw_y
1 51.0000000000
5 52.0000000000
13 55.0000000000
25 58.0000000000
32 59.0000000000
38 60.0000000000
64 61.0000000000
82 62.0000000000
564 63.0000000000
779 64.0000000000
1900 65.0000000000
2004 66.0000000000
2019 67.0000000000
2028 69.0000000000
2050 71.0000000000
2369 74.0000000000
4014 77.0000000000
5494 78.0000000000
6022 81.0000000000
6088 82.0000000000
6680 83.0000000000
8036 86.0000000000
8513 87.0000000000
8936 89.0000000000
10299 91.0000000000
10425 93.0000000000
12658 95.0000000000
14035 96.0000000000
14400 97.0000000000
14935 98.0000000000
18102 99.0000000000
18833 100.0000000000
19000 92.0000000000
evaluations raw_y
1 54.0000000000
8 57.0000000000
13 60.0000000000
68 65.0000000000
2044 68.0000000000
2091 71.0000000000
3091 72.0000000000
4015 75.0000000000
4247 77.0000000000
5991 78.0000000000
6013 79.0000000000
6169 80.0000000000
6176 81.0000000000
6701 82.0000000000
8003 83.0000000000
8055 85.0000000000
8271 86.0000000000
8387 87.0000000000
8400 89.0000000000
10668 90.0000000000
12022 91.0000000000
12048 92.0000000000
12310 93.0000000000
12877 94.0000000000
14057 95.0000000000
14058 96.0000000000
14269 97.0000000000
16316 98.0000000000
16541 99.0000000000
18659 100.0000000000
19000 97.0000000000
evaluations raw_y
1 43.0000000000
3 45.0000000000
4 46.0000000000
5 52.0000000000
6 55.0000000000
7 56.0000000000
11 57.0000000000
17 59.0000000000
26 61.0000000000
91 63.0000000000
773 64.0000000000
1334 65.0000000000
