evaluations raw_y
1 51.0000000000
3 57.0000000000
74 60.0000000000
110 62.0000000000
274 66.0000000000
497 67.0000000000
3360 69.0000000000
5789 70.0000000000
9194 72.0000000000
9540 73.0000000000
11663 75.0000000000
13878 76.0000000000
17153 77.0000000000
17458 78.0000000000
19684 79.0000000000
21105 80.0000000000
21691 81.0000000000
23119 82.0000000000
23432 83.0000000000
25417 84.0000000000
27663 89.0000000000
29815 91.0000000000
37220 92.0000000000
39034 94.0000000000
43829 95.0000000000
45587 96.0000000000
51550 97.0000000000
55034 98.0000000000
59749 99.0000000000
65462 100.0000000000
67000 97.0000000000
evaluations raw_y
1 57.0000000000
28 58.0000000000
44 60.0000000000
82 61.0000000000
129 67.0000000000
5831 68.0000000000
7035 71.0000000000
9064 73.0000000000
9557 74.0000000000
15450 75.0000000000
17071 76.0000000000
17555 80.0000000000
23966 81.0000000000
25943 82.0000000000
27056 83.0000000000
29069 84.0000000000
29074 85.0000000000
31084 87.0000000000
35124 88.0000000000
35203 89.0000000000
39409 92.0000000000
45673 93.0000000000
47955 94.0000000000
51531 95.0000000000
51810 96.0000000000
55265 97.0000000000
57536 98.0000000000
63139 99.0000000000
67658 100.0000000000
69000 96.0000000000
evaluations raw_y
1 48.0000000000
2 49.0000000000
5 50.0000000000
7 51.0000000000
8 53.0000000000
14 56.0000000000
42 57.0000000000
59 59.0000000000
63 63.0000000000
191 64.0000000000
1032 65.0000000000
1528 67.0000000000
5329 68.0000000000
7072 69.0000000000
7218 70.0000000000
9468 71.0000000000
9783 72.0000000000
11097 76.0000000000
15662 79.0000000000
17785 80.0000000000
19093 81.0000000000
23790 83.0000000000
27139 84.0000000000
29342 85.0000000000
29674 88.0000000000
29746 89.0000000000
33135 90.0000000000
35663 91.0000000000
43341 92.0000000000
45498 93.0000000000
47308 94.0000000000
49107 95.0000000000
51502 96.0000000000
55519 97.0000000000
63138 98.0000000000
63251 99.0000000000
65022 100.0000000000
67000 95.0000000000
evaluations raw_y
1 46.0000000000
2 55.0000000000
4 57.0000000000
22 58.0000000000
35 60.0000000000
86 66.0000000000
1890 68.0000000000
5190 72.0000000000
7050 73.0000000000
9192 77.0000000000
15213 78.0000000000
17427 79.0000000000
17677 80.0000000000
17953 81.0000000000
19594 85.0000000000
27309 86.0000000000
27354 87.0000000000
29806 88.0000000000
31626 89.0000000000
33665 90.0000000000
33768 91.0000000000
37421 92.0000000000
39199 93.0000000000
43251 94.0000000000
45012 95.0000000000
47101 96.0000000000
47791 97.0000000000
55031 98.0000000000
59592 99.0000000000
61538 100.0000000000
63000 95.0000000000
evaluations raw_y
1 48.0000000000
2 56.0000000000
3 57.0000000000
14 60.0000000000
57 61.0000000000
67 64.0000000000
389 72.0000000000
11110 74.0000000000
11432 77.0000000000
11585 81.0000000000
23292 82.0000000000
25037 83.0000000000
25779 85.0000000000
29436 86.0000000000
33105 87.0000000000
33174 89.0000000000
37028 90.0000000000
39410 92.0000000000
43319 93.0000000000
47169 94.0000000000
49369 96.0000000000
57183 97.0000000000
59019 98.0000000000
65097 99.0000000000
69169 100.0000000000
71000 96.0000000000
evaluations raw_y
1 50.0000000000
3 59.0000000000
52 62.0000000000
506 64.0000000000
1326 66.0000000000
3279 69.0000000000
7560 70.0000000000
9084 72.0000000000
11836 74.0000000000
15463 76.0000000000
17571 77.0000000000
19452 78.0000000000
19798 80.0000000000
21594 82.0000000000
27069 83.0000000000
27159 84.0000000000
29048 85.0000000000
33027 86.0000000000
33055 87.0000000000
33414 89.0000000000
35146 90.0000000000
39115 92.0000000000
43416 93.0000000000
45939 94.0000000000
49164 96.0000000000
53606 97.0000000000
57893 98.0000000000
61038 99.0000000000
67937 100.0000000000
69000 96.0000000000
evaluations raw_y
1 66.0000000000
5073 69.0000000000
7367 71.0000000000
11037 74.0000000000
15053 79.0000000000
17304 82.0000000000
25652 83.0000000000
27453 85.0000000000
27546 86.0000000000
29781 87.0000000000
29847 88.0000000000
33102 89.0000000000
35450 90.0000000000
37306 91.0000000000
37468 92.0000000000
39080 93.0000000000
45013 94.0000000000
45026 96.0000000000
51317 97.0000000000
53609 98.0000000000
59351 100.0000000000
61000 95.0000000000
evaluations raw_y
1 50.0000000000
2 54.0000000000
12 59.0000000000
60 61.0000000000
138 64.0000000000
320 66.0000000000
5498 67.0000000000
5513 68.0000000000
7093 71.0000000000
11081 72.0000000000
11260 73.0000000000
13117 74.0000000000
15162 75.0000000000
15221 77.0000000000
19051 80.0000000000
21385 81.0000000000
23004 82.0000000000
25588 84.0000000000
27102 85.0000000000
29593 86.0000000000
31128 87.0000000000
31225 90.0000000000
37122 91.0000000000
37669 92.0000000000
39818 93.0000000000
43059 94.0000000000
45193 95.0000000000
47071 96.0000000000
49920 97.0000000000
55292 98.0000000000
57487 99.0000000000
63207 100.0000000000
65000 96.0000000000
evaluations raw_y
1 42.0000000000
2 54.0000000000
10 55.0000000000
13 57.0000000000
22 58.0000000000
33 62.0000000000
236 63.0000000000
732 66.0000000000
5844 67.0000000000
7601 68.0000000000
7660 69.0000000000
9181 70.0000000000
9888 71.0000000000
13158 72.0000000000
15396 73.0000000000
15460 77.0000000000
19664 79.0000000000
23018 80.0000000000
25249 82.0000000000
27107 83.0000000000
29233 85.0000000000
29545 86.0000000000
31961 87.0000000000
35159 88.0000000000
37707 89.0000000000
39273 90.0000000000
39335 92.0000000000
45123 93.0000000000
45239 95.0000000000
51319 96.0000000000
55099 97.0000000000
59007 98.0000000000
59614 99.0000000000
63028 100.0000000000
65000 95.0000000000
evaluations raw_y
1 49.0000000000
5 50.0000000000
6 59.0000000000
38 60.0000000000
123 66.0000000000
1450 67.0000000000
3055 68.0000000000
5549 69.0000000000
7121 70.0000000000
9136 71.0000000000
9310 72.0000000000
11484 73.0000000000
13250 74.0000000000
13382 77.0000000000
17138 78.0000000000
17208 80.0000000000
21039 81.0000000000
23201 82.0000000000
23822 83.0000000000
25027 84.0000000000
25143 86.0000000000
27510 88.0000000000
31618 90.0000000000
37549 91.0000000000
39220 92.0000000000
41255 93.0000000000
43416 94.0000000000
45342 95.0000000000
49230 96.0000000000
49429 97.0000000000
53343 98.0000000000
55976 99.0000000000
63115 100.0000000000
65000 95.0000000000
