evaluations raw_y
1 50.0000000000
2 53.0000000000
7 54.0000000000
31 56.0000000000
39 57.0000000000
44 58.0000000000
65 63.0000000000
127 64.0000000000
926 67.0000000000
1918 68.0000000000
5413 69.0000000000
7140 70.0000000000
9324 72.0000000000
9982 73.0000000000
13512 74.0000000000
13749 76.0000000000
15480 77.0000000000
15508 79.0000000000
17055 81.0000000000
21900 82.0000000000
23148 83.0000000000
25154 84.0000000000
27241 85.0000000000
29276 86.0000000000
31012 87.0000000000
31086 88.0000000000
31170 89.0000000000
35286 90.0000000000
35683 91.0000000000
39032 92.0000000000
39980 93.0000000000
43113 94.0000000000
47338 95.0000000000
49705 96.0000000000
55435 97.0000000000
59198 98.0000000000
61129 99.0000000000
67127 100.0000000000
69000 97.0000000000
evaluations raw_y
1 50.0000000000
2 56.0000000000
19 65.0000000000
1039 67.0000000000
3404 69.0000000000
7540 70.0000000000
9444 72.0000000000
13051 73.0000000000
13432 76.0000000000
17797 80.0000000000
23123 81.0000000000
25100 82.0000000000
25148 84.0000000000
29284 86.0000000000
29523 87.0000000000
33298 88.0000000000
33892 89.0000000000
39455 90.0000000000
39728 91.0000000000
43251 92.0000000000
47526 95.0000000000
53104 96.0000000000
57337 97.0000000000
61039 98.0000000000
63787 99.0000000000
69636 100.0000000000
71000 96.0000000000
evaluations raw_y
1 48.0000000000
2 55.0000000000
3 59.0000000000
12 60.0000000000
19 63.0000000000
72 64.0000000000
560 67.0000000000
5013 69.0000000000
7034 70.0000000000
9540 71.0000000000
11009 72.0000000000
11016 73.0000000000
13055 74.0000000000
13329 76.0000000000
17109 77.0000000000
19088 79.0000000000
21071 80.0000000000
21419 82.0000000000
23516 83.0000000000
25036 84.0000000000
27371 85.0000000000
29187 86.0000000000
31667 88.0000000000
37143 89.0000000000
37180 90.0000000000
41012 91.0000000000
41500 92.0000000000
43389 93.0000000000
47227 94.0000000000
51015 95.0000000000
51077 96.0000000000
53902 97.0000000000
57567 98.0000000000
61195 99.0000000000
71315 100.0000000000
73000 97.0000000000
evaluations raw_y
1 53.0000000000
6 55.0000000000
11 56.0000000000
14 57.0000000000
17 58.0000000000
66 59.0000000000
97 62.0000000000
156 64.0000000000
3421 65.0000000000
5155 66.0000000000
5175 72.0000000000
11423 74.0000000000
13393 75.0000000000
17213 76.0000000000
17214 78.0000000000
21072 79.0000000000
21812 80.0000000000
23783 81.0000000000
23836 82.0000000000
27096 83.0000000000
29316 84.0000000000
31170 86.0000000000
33413 87.0000000000
35551 89.0000000000
39408 90.0000000000
41090 91.0000000000
43602 94.0000000000
47176 95.0000000000
51693 96.0000000000
55521 97.0000000000
61826 98.0000000000
63225 100.0000000000
65000 94.0000000000
evaluations raw_y
1 47.0000000000
2 55.0000000000
16 58.0000000000
77 59.0000000000
116 60.0000000000
131 61.0000000000
140 65.0000000000
5021 67.0000000000
7614 68.0000000000
9581 69.0000000000
9622 70.0000000000
11015 71.0000000000
11661 73.0000000000
15188 74.0000000000
15541 75.0000000000
17548 77.0000000000
19633 78.0000000000
21635 80.0000000000
25113 81.0000000000
25857 82.0000000000
27110 84.0000000000
27977 85.0000000000
29813 87.0000000000
35384 89.0000000000
37955 90.0000000000
41119 91.0000000000
43187 92.0000000000
43687 93.0000000000
49155 94.0000000000
49763 95.0000000000
53390 96.0000000000
53857 97.0000000000
59175 98.0000000000
61710 99.0000000000
67073 100.0000000000
69000 96.0000000000
evaluations raw_y
1 57.0000000000
2 58.0000000000
30 60.0000000000
43 62.0000000000
205 63.0000000000
806 67.0000000000
5228 69.0000000000
7187 70.0000000000
9230 72.0000000000
13023 73.0000000000
13320 74.0000000000
15119 77.0000000000
17558 78.0000000000
19619 79.0000000000
21622 80.0000000000
23483 82.0000000000
25349 83.0000000000
27638 84.0000000000
27743 85.0000000000
31415 86.0000000000
31962 87.0000000000
33044 88.0000000000
37004 90.0000000000
37673 91.0000000000
41046 92.0000000000
43021 93.0000000000
45670 94.0000000000
47408 95.0000000000
51507 96.0000000000
53185 97.0000000000
55279 98.0000000000
59512 99.0000000000
67596 100.0000000000
69000 96.0000000000
evaluations raw_y
1 52.0000000000
4 55.0000000000
11 58.0000000000
17 59.0000000000
162 61.0000000000
400 65.0000000000
664 67.0000000000
5528 68.0000000000
7001 70.0000000000
11151 72.0000000000
11216 73.0000000000
13359 77.0000000000
17063 78.0000000000
19357 80.0000000000
19748 83.0000000000
27144 85.0000000000
27699 86.0000000000
31238 87.0000000000
33661 88.0000000000
35941 89.0000000000
37739 90.0000000000
39674 91.0000000000
41445 92.0000000000
43093 93.0000000000
45814 94.0000000000
51294 95.0000000000
55484 96.0000000000
59222 97.0000000000
63965 98.0000000000
67223 99.0000000000
69386 100.0000000000
71000 96.0000000000
evaluations raw_y
1 57.0000000000
13 59.0000000000
27 61.0000000000
126 63.0000000000
324 64.0000000000
1251 67.0000000000
3132 69.0000000000
7151 70.0000000000
7287 71.0000000000
9200 72.0000000000
11139 73.0000000000
13462 74.0000000000
13720 75.0000000000
13939 77.0000000000
17136 79.0000000000
19534 82.0000000000
23191 83.0000000000
23547 84.0000000000
27183 89.0000000000
33210 90.0000000000
35159 92.0000000000
37368 95.0000000000
45128 96.0000000000
47654 98.0000000000
59488 99.0000000000
61284 100.0000000000
63000 95.0000000000
evaluations raw_y
1 44.0000000000
3 52.0000000000
5 55.0000000000
6 58.0000000000
25 63.0000000000
31 67.0000000000
830 68.0000000000
3031 69.0000000000
5342 70.0000000000
9276 71.0000000000
11256 72.0000000000
11371 73.0000000000
11979 74.0000000000
15092 75.0000000000
15359 77.0000000000
19188 78.0000000000
21252 79.0000000000
21572 80.0000000000
23474 81.0000000000
25102 83.0000000000
27193 85.0000000000
35237 86.0000000000
35253 87.0000000000
37155 88.0000000000
37206 89.0000000000
39019 90.0000000000
41247 91.0000000000
43072 92.0000000000
45236 93.0000000000
51090 94.0000000000
53553 95.0000000000
55644 96.0000000000
57137 97.0000000000
63004 98.0000000000
63099 99.0000000000
65128 100.0000000000
67000 94.0000000000
evaluations raw_y
1 55.0000000000
7 57.0000000000
11 61.0000000000
27 66.0000000000
1380 68.0000000000
1383 69.0000000000
3312 70.0000000000
7219 71.0000000000
7289 72.0000000000
11234 73.0000000000
11339 76.0000000000
13645 77.0000000000
17348 78.0000000000
19691 80.0000000000
21292 82.0000000000
21304 84.0000000000
27011 86.0000000000
29760 88.0000000000
33662 90.0000000000
35093 91.0000000000
39366 92.0000000000
41761 94.0000000000
45799 96.0000000000
55207 97.0000000000
59061 99.0000000000
65226 100.0000000000
67000 96.0000000000
