evaluations raw_y
1 2.0000000000
11 6.0000000000
58 9.0000000000
712 11.0000000000
886 13.0000000000
2227 14.0000000000
4050 15.0000000000
4269 17.0000000000
5556 21.0000000000
6423 25.0000000000
10113 28.0000000000
12121 32.0000000000
12786 33.0000000000
13278 34.0000000000
14144 39.0000000000
14633 40.0000000000
20517 43.0000000000
26217 45.0000000000
28434 47.0000000000
30387 49.0000000000
30410 51.0000000000
34836 55.0000000000
38416 57.0000000000
38998 58.0000000000
42497 59.0000000000
45401 60.0000000000
48555 61.0000000000
50611 62.0000000000
54344 64.0000000000
58348 65.0000000000
60635 66.0000000000
62923 76.0000000000
72063 78.0000000000
72345 79.0000000000
74274 80.0000000000
76356 83.0000000000
80815 84.0000000000
80978 86.0000000000
84432 87.0000000000
88408 88.0000000000
96653 89.0000000000
98668 92.0000000000
99000 83.0000000000
evaluations raw_y
1 3.0000000000
7 4.0000000000
37 5.0000000000
41 7.0000000000
81 10.0000000000
1993 11.0000000000
2413 15.0000000000
4100 18.0000000000
6373 19.0000000000
6503 21.0000000000
8105 22.0000000000
8107 23.0000000000
11826 24.0000000000
12613 26.0000000000
14483 27.0000000000
16745 28.0000000000
18601 29.0000000000
20160 30.0000000000
22283 32.0000000000
24165 33.0000000000
26046 38.0000000000
26605 39.0000000000
28310 40.0000000000
29902 42.0000000000
32523 43.0000000000
34550 44.0000000000
39688 46.0000000000
40687 47.0000000000
44064 48.0000000000
50425 52.0000000000
50700 53.0000000000
52258 55.0000000000
54942 57.0000000000
60644 58.0000000000
62138 59.0000000000
62969 61.0000000000
66136 62.0000000000
66689 67.0000000000
70417 71.0000000000
76122 72.0000000000
80220 74.0000000000
80584 79.0000000000
86401 80.0000000000
86417 81.0000000000
88889 83.0000000000
94355 84.0000000000
96626 85.0000000000
98719 86.0000000000
98731 87.0000000000
99000 3.0000000000
evaluations raw_y
1 0.0000000000
5 3.0000000000
7 6.0000000000
13 8.0000000000
283 9.0000000000
2027 10.0000000000
2489 13.0000000000
3777 16.0000000000
4528 17.0000000000
8506 19.0000000000
10137 20.0000000000
12624 22.0000000000
