evaluations raw_y
1 5.0000000000
2 7.0000000000
18 8.0000000000
70 10.0000000000
3000 5.0000000000
evaluations raw_y
1 7.0000000000
3 8.0000000000
139 9.0000000000
336 10.0000000000
3000 6.0000000000
evaluations raw_y
1 7.0000000000
7 8.0000000000
87 9.0000000000
1628 10.0000000000
3000 6.0000000000
evaluations raw_y
1 6.0000000000
5 7.0000000000
58 8.0000000000
98 9.0000000000
422 10.0000000000
3000 5.0000000000
evaluations raw_y
1 7.0000000000
34 8.0000000000
70 9.0000000000
623 10.0000000000
3000 5.0000000000
evaluations raw_y
1 7.0000000000
15 8.0000000000
19 9.0000000000
158 10.0000000000
3000 5.0000000000
evaluations raw_y
1 6.0000000000
10 7.0000000000
25 9.0000000000
542 10.0000000000
3000 5.0000000000
evaluations raw_y
1 3.0000000000
2 8.0000000000
47 9.0000000000
3032 10.0000000000
5000 6.0000000000
evaluations raw_y
1 4.0000000000
3 5.0000000000
5 6.0000000000
7 7.0000000000
22 8.0000000000
34 9.0000000000
634 10.0000000000
3000 5.0000000000
evaluations raw_y
1 4.0000000000
2 7.0000000000
26 8.0000000000
37 10.0000000000
3000 5.0000000000
