evaluations raw_y
1 56.0000000000
13 57.0000000000
16 58.0000000000
39 61.0000000000
59 62.0000000000
270 63.0000000000
773 64.0000000000
1296 65.0000000000
3082 66.0000000000
3203 67.0000000000
3645 68.0000000000
5218 69.0000000000
7028 70.0000000000
7320 72.0000000000
11047 73.0000000000
11066 76.0000000000
15190 77.0000000000
17226 78.0000000000
19119 79.0000000000
21086 83.0000000000
27783 84.0000000000
29556 85.0000000000
31498 88.0000000000
33564 90.0000000000
41076 91.0000000000
41479 92.0000000000
45021 93.0000000000
45420 94.0000000000
49304 95.0000000000
51262 96.0000000000
53138 97.0000000000
53769 99.0000000000
67107 100.0000000000
69000 97.0000000000
evaluations raw_y
1 44.0000000000
2 52.0000000000
4 53.0000000000
8 60.0000000000
119 62.0000000000
628 63.0000000000
842 66.0000000000
1723 68.0000000000
5437 70.0000000000
9136 71.0000000000
9494 72.0000000000
11101 73.0000000000
13047 76.0000000000
17750 79.0000000000
21187 80.0000000000
23223 81.0000000000
25093 83.0000000000
25288 84.0000000000
29017 85.0000000000
29279 87.0000000000
31357 89.0000000000
33159 90.0000000000
35037 91.0000000000
39208 92.0000000000
41646 94.0000000000
43916 95.0000000000
49017 96.0000000000
51340 97.0000000000
55056 98.0000000000
57453 99.0000000000
63162 100.0000000000
65000 96.0000000000
evaluations raw_y
1 49.0000000000
2 52.0000000000
3 54.0000000000
8 61.0000000000
23 64.0000000000
168 65.0000000000
1804 66.0000000000
3426 70.0000000000
7127 72.0000000000
11546 73.0000000000
13096 74.0000000000
13167 75.0000000000
15422 78.0000000000
19008 80.0000000000
19218 81.0000000000
23110 82.0000000000
23173 84.0000000000
25036 88.0000000000
31555 89.0000000000
31767 90.0000000000
33054 91.0000000000
39335 92.0000000000
41019 94.0000000000
43002 95.0000000000
47013 96.0000000000
49287 97.0000000000
49782 98.0000000000
57292 99.0000000000
61380 100.0000000000
63000 96.0000000000
evaluations raw_y
1 49.0000000000
2 50.0000000000
4 55.0000000000
9 58.0000000000
116 61.0000000000
127 64.0000000000
782 65.0000000000
869 67.0000000000
1143 69.0000000000
3075 70.0000000000
5813 72.0000000000
7193 73.0000000000
9257 74.0000000000
13049 76.0000000000
15218 78.0000000000
17061 80.0000000000
19869 81.0000000000
23061 82.0000000000
23775 83.0000000000
25273 85.0000000000
27515 86.0000000000
29370 87.0000000000
33078 88.0000000000
33512 89.0000000000
33886 90.0000000000
39024 91.0000000000
41372 92.0000000000
43076 93.0000000000
45277 94.0000000000
45936 95.0000000000
49450 96.0000000000
51572 98.0000000000
53081 99.0000000000
63824 100.0000000000
65000 96.0000000000
evaluations raw_y
1 49.0000000000
5 53.0000000000
6 56.0000000000
14 59.0000000000
31 60.0000000000
34 61.0000000000
214 62.0000000000
852 70.0000000000
7040 71.0000000000
9060 72.0000000000
9708 73.0000000000
11060 74.0000000000
11120 77.0000000000
15037 78.0000000000
17078 81.0000000000
19488 83.0000000000
23272 84.0000000000
27572 85.0000000000
29163 86.0000000000
29733 87.0000000000
31107 88.0000000000
35019 89.0000000000
35516 91.0000000000
41312 92.0000000000
41896 93.0000000000
43297 95.0000000000
49162 96.0000000000
53492 98.0000000000
55317 99.0000000000
65176 100.0000000000
67000 96.0000000000
evaluations raw_y
1 49.0000000000
2 53.0000000000
3 54.0000000000
5 55.0000000000
11 56.0000000000
13 59.0000000000
129 61.0000000000
156 65.0000000000
906 66.0000000000
1000 48.0000000000
