evaluations raw_y
29985 13.0000000000
34427 14.0000000000
37531 19.0000000000
50000 0.0000000000
evaluations raw_y
1 3.0000000000
11 5.0000000000
89 7.0000000000
168 8.0000000000
1711 11.0000000000
2720 12.0000000000
11949 13.0000000000
14576 14.0000000000
47875 16.0000000000
50000 0.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
4 2.0000000000
29 6.0000000000
324 7.0000000000
458 8.0000000000
592 10.0000000000
3558 11.0000000000
5737 12.0000000000
15158 13.0000000000
20859 14.0000000000
50000 0.0000000000
evaluations raw_y
1 1.0000000000
7 2.0000000000
40 6.0000000000
99 8.0000000000
242 9.0000000000
464 10.0000000000
558 11.0000000000
7418 15.0000000000
50000 6.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
13 6.0000000000
42 9.0000000000
106 12.0000000000
14069 13.0000000000
39334 14.0000000000
50000 0.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
4 2.0000000000
8 3.0000000000
12 4.0000000000
56 6.0000000000
261 7.0000000000
304 9.0000000000
5071 12.0000000000
14209 15.0000000000
50000 2.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
11 6.0000000000
254 7.0000000000
341 8.0000000000
665 9.0000000000
718 12.0000000000
1191 13.0000000000
18557 14.0000000000
42602 15.0000000000
50000 8.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
3 2.0000000000
27 3.0000000000
33 5.0000000000
52 6.0000000000
123 7.0000000000
139 11.0000000000
2703 12.0000000000
5278 13.0000000000
12171 14.0000000000
46002 16.0000000000
50000 1.0000000000
evaluations raw_y
1 1.0000000000
9 2.0000000000
22 3.0000000000
27 4.0000000000
74 7.0000000000
125 8.0000000000
293 10.0000000000
2837 12.0000000000
3739 15.0000000000
9180 16.0000000000
31408 18.0000000000
50000 0.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
6 3.0000000000
15 4.0000000000
23 6.0000000000
123 8.0000000000
1196 9.0000000000
2273 10.0000000000
2311 11.0000000000
4905 12.0000000000
17947 14.0000000000
50000 1.0000000000
evaluations raw_y
1 1.0000000000
8 2.0000000000
16 4.0000000000
41 5.0000000000
85 11.0000000000
12470 12.0000000000
13094 13.0000000000
21720 15.0000000000
50000 1.0000000000
evaluations raw_y
1 2.0000000000
2 3.0000000000
81 4.0000000000
87 5.0000000000
157 7.0000000000
901 8.0000000000
1207 9.0000000000
3873 10.0000000000
4896 13.0000000000
37476 14.0000000000
50000 1.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
6 3.0000000000
16 5.0000000000
25 8.0000000000
155 11.0000000000
8959 12.0000000000
23437 13.0000000000
34610 17.0000000000
50000 1.0000000000
evaluations raw_y
1 1.0000000000
6 2.0000000000
37 3.0000000000
43 4.0000000000
82 6.0000000000
181 7.0000000000
217 8.0000000000
790 10.0000000000
2175 13.0000000000
9278 17.0000000000
50000 1.0000000000
evaluations raw_y
1 0.0000000000
2 3.0000000000
11 4.0000000000
