evaluations raw_y
1 43.0000000000
2 53.0000000000
3 54.0000000000
11 61.0000000000
281 63.0000000000
474 66.0000000000
5015 68.0000000000
5334 70.0000000000
5799 75.0000000000
11368 76.0000000000
11427 77.0000000000
15388 78.0000000000
17009 79.0000000000
17173 80.0000000000
19743 81.0000000000
21954 82.0000000000
23562 83.0000000000
23585 84.0000000000
25164 86.0000000000
29491 87.0000000000
31865 88.0000000000
33123 89.0000000000
35015 90.0000000000
35114 91.0000000000
39882 92.0000000000
41114 93.0000000000
43272 94.0000000000
45129 95.0000000000
45391 96.0000000000
49258 97.0000000000
53228 98.0000000000
57083 99.0000000000
63405 100.0000000000
65000 96.0000000000
evaluations raw_y
1 50.0000000000
4 54.0000000000
11 57.0000000000
12 62.0000000000
143 64.0000000000
378 65.0000000000
784 66.0000000000
3714 67.0000000000
3971 71.0000000000
9310 72.0000000000
9603 76.0000000000
13863 77.0000000000
15547 78.0000000000
19009 79.0000000000
19077 80.0000000000
19299 81.0000000000
21769 82.0000000000
25066 83.0000000000
27157 85.0000000000
27374 86.0000000000
31145 87.0000000000
31695 88.0000000000
33676 89.0000000000
35401 90.0000000000
37081 91.0000000000
39087 92.0000000000
41384 93.0000000000
43515 95.0000000000
45281 96.0000000000
49211 97.0000000000
49444 98.0000000000
57159 99.0000000000
61841 100.0000000000
63000 96.0000000000
evaluations raw_y
1 46.0000000000
2 56.0000000000
16 60.0000000000
42 67.0000000000
997 70.0000000000
7019 71.0000000000
7586 74.0000000000
9006 76.0000000000
11782 77.0000000000
15159 78.0000000000
17067 79.0000000000
17244 80.0000000000
17894 81.0000000000
19846 82.0000000000
21381 84.0000000000
23066 85.0000000000
27005 86.0000000000
27221 87.0000000000
33032 88.0000000000
35003 89.0000000000
35656 91.0000000000
37869 93.0000000000
43226 94.0000000000
45359 95.0000000000
47695 96.0000000000
51464 97.0000000000
57216 98.0000000000
61213 99.0000000000
67027 100.0000000000
69000 97.0000000000
evaluations raw_y
1 58.0000000000
87 61.0000000000
142 62.0000000000
315 63.0000000000
795 64.0000000000
998 67.0000000000
3690 68.0000000000
5120 69.0000000000
7015 71.0000000000
11220 72.0000000000
11256 73.0000000000
11462 74.0000000000
13444 77.0000000000
19007 78.0000000000
19068 79.0000000000
19153 80.0000000000
19328 81.0000000000
19888 82.0000000000
23022 84.0000000000
25192 85.0000000000
25577 86.0000000000
29011 88.0000000000
33114 89.0000000000
37041 90.0000000000
39133 92.0000000000
41101 93.0000000000
43660 94.0000000000
47034 95.0000000000
47108 96.0000000000
49132 97.0000000000
55007 98.0000000000
57192 99.0000000000
61821 100.0000000000
63000 96.0000000000
evaluations raw_y
1 44.0000000000
2 51.0000000000
4 53.0000000000
11 57.0000000000
56 61.0000000000
336 62.0000000000
768 66.0000000000
3449 67.0000000000
5866 68.0000000000
7002 69.0000000000
7011 75.0000000000
9276 76.0000000000
15193 78.0000000000
17172 79.0000000000
17240 82.0000000000
23039 83.0000000000
23503 86.0000000000
25938 88.0000000000
31480 89.0000000000
35237 91.0000000000
37228 93.0000000000
43386 94.0000000000
47595 95.0000000000
47932 96.0000000000
53123 97.0000000000
57218 98.0000000000
61521 100.0000000000
63000 95.0000000000
evaluations raw_y
1 49.0000000000
2 53.0000000000
3 55.0000000000
4 56.0000000000
7 58.0000000000
17 61.0000000000
96 62.0000000000
109 66.0000000000
1000 40.0000000000
